unique circuitNames,year,constructorId,bestLapTime,GPName,circuitName
,2016,131,01:21.1,Belgian Grand Prix,Autodromo Nazionale di Monza
,2016,131,01:30.6,Italian Grand Prix,Suzuka Circuit
,2016,131,01:32.8,Singapore Grand Prix,Sepang International Circuit
,2016,131,01:18.7,Malaysian Grand Prix,Autódromo Hermanos Rodríguez
,2016,131,01:13.6,Japanese Grand Prix,Circuit de Monaco
,2016,131,01:35.3,United States Grand Prix,Sochi Autodrom
,2016,131,01:42.6,Mexican Grand Prix,Marina Bay Street Circuit
,2016,131,01:22.0,Brazilian Grand Prix,Circuit de Barcelona-Catalunya
,2016,131,01:35.0,Abu Dhabi Grand Prix,Circuit of the Americas
,2017,131,01:36.2,Australian Grand Prix,Yas Marina Circuit
,2017,131,01:22.2,Chinese Grand Prix,Albert Park Grand Prix Circuit
,2017,131,01:04.3,Bahrain Grand Prix,Red Bull Ring
,2017,6,01:40.6,Russian Grand Prix,Baku City Circuit
,2017,131,01:28.8,Spanish Grand Prix,Bahrain International Circuit
,2017,6,01:42.6,Monaco Grand Prix,Circuit de Spa-Francorchamps
,2017,131,01:08.3,Canadian Grand Prix,Autódromo José Carlos Pace
,2017,131,01:26.6,Azerbaijan Grand Prix,Silverstone Circuit
,2017,131,01:11.5,Austrian Grand Prix,Circuit Gilles Villeneuve
,2017,131,01:31.7,British Grand Prix,Shanghai International Circuit
,2017,6,01:16.3,Hungarian Grand Prix,Hungaroring
,2017,131,01:34.7,Belgian Grand Prix,Autodromo Nazionale di Monza
,2017,131,01:27.3,Italian Grand Prix,Suzuka Circuit
,2017,6,01:30.1,Singapore Grand Prix,Sepang International Circuit
,2017,131,01:16.5,Malaysian Grand Prix,Autódromo Hermanos Rodríguez
,2017,131,01:12.2,Japanese Grand Prix,Circuit de Monaco
,2017,131,01:33.2,United States Grand Prix,Sochi Autodrom
,2017,6,01:39.5,Mexican Grand Prix,Marina Bay Street Circuit
,2017,131,01:19.1,Brazilian Grand Prix,Circuit de Barcelona-Catalunya
,2017,131,01:33.1,Abu Dhabi Grand Prix,Circuit of the Americas
,2018,131,01:34.794,Australian Grand Prix,Yas Marina Circuit
,2018,6,01:21.2,Bahrain Grand Prix,Albert Park Grand Prix Circuit
,2018,6,01:03.1,Chinese Grand Prix,Red Bull Ring
,2018,6,01:41.5,Azerbaijan Grand Prix,Baku City Circuit
,2018,131,01:28.0,Spanish Grand Prix,Bahrain International Circuit
,2018,9,01:41.6,Monaco Grand Prix,Circuit de Spa-Francorchamps
,2018,6,01:07.3,Canadian Grand Prix,Autódromo José Carlos Pace
,2018,131,01:25.9,French Grand Prix,Silverstone Circuit
,2018,131,01:10.8,Austrian Grand Prix,Circuit Gilles Villeneuve
,2018,131,01:31.1,British Grand Prix,Shanghai International Circuit
,2018,6,01:30.0,German Grand Prix,Circuit Paul Ricard
,2018,131,01:11.2,Hungarian Grand Prix,Hockenheimring
